punkt,ID,dato,day,x,y,theta_median,theta_sd,plantehøyde,vekst,VC,NDVI_S2,VC.1,NDVI_S2.1,aspect_05,aspect_10,aspect_20,dem_05_fn,flacc_05,flacc_10,flacc_20,hillslope_unity_05,hillslope_unity_10,hillslope_unity_20,slope_05,slope_10,slope_20,tci_05,tci_10,tci_20,text_num,swsc_eff
6,A6,2017-06-13,1,603351.170000,6616078.350000,0.286000,0.009834,22.000000,2,0.434167,0.543012,0.434167,0.543012,102.350700,106.642100,106.561200,109.530000,52.642572,88.086966,25.723673,0.489529,0.500000,0.503488,18.476470,8.970484,9.827376,4.748685,6.201949,5.369383,8.000000,99.090000
7,A7,2017-06-13,1,603361.430000,6616077.700000,0.295000,0.023590,20.000000,2,0.524155,0.541616,0.524155,0.541616,102.457800,97.703570,105.092200,110.090000,20.251561,25.195510,11.364156,0.500000,0.500000,0.503488,20.550890,10.305140,10.560430,3.211729,4.253614,4.351673,8.000000,99.090000
8,A8,2017-06-13,1,603370.810000,6616074.800000,0.251000,0.024825,19.000000,2,0.547709,0.549323,0.547709,0.549323,90.386630,89.262730,97.048320,110.745000,42.680684,18.369986,10.492681,0.482523,0.486030,0.503488,18.542140,10.989070,9.304757,4.846652,4.611511,4.322316,8.000000,99.090000
9,A9,2017-06-13,1,603382.310000,6616076.600000,0.270000,0.021730,20.000000,2,0.573512,0.570389,0.573512,0.570389,92.862950,94.867600,90.572900,110.625000,15.691078,22.898586,22.530268,0.500000,0.506977,0.517478,15.019090,9.366926,9.462725,3.485802,4.653688,5.373785,8.000000,99.090000
10,A10,2017-06-13,1,603390.610000,6616078.690000,0.293000,0.023330,20.000000,2,0.502685,0.616631,0.502685,0.616631,91.150480,89.121830,87.125930,110.125000,30.600744,21.619810,14.634658,0.500000,0.493023,0.503488,16.586210,8.507680,8.506255,4.100574,4.769367,4.917922,8.000000,99.090000
11,A11,2017-06-13,1,603401.040000,6616078.620000,0.270000,0.016355,18.000000,2,0.593358,0.609664,0.593358,0.609664,94.453310,79.262840,87.197590,110.110000,14.258597,23.964317,21.570391,0.506977,0.479005,0.457580,9.486801,5.112553,4.384716,4.008184,5.134469,5.634875,8.000000,99.090000
13,A13,2017-06-13,1,603410.410000,6616079.430000,0.370000,0.021881,10.000000,2,0.190645,0.577913,0.190645,0.577913,141.910000,149.228900,142.658700,110.380000,15.047890,20.467883,7.759497,0.520994,0.520994,0.524523,10.286530,6.079288,5.305013,3.518808,4.816691,4.737771,8.000000,99.090000
14,A14,2017-06-13,1,603423.090000,6616076.060000,0.258000,0.035563,10.000000,2,0.250528,0.469171,0.250528,0.469171,150.766700,151.564000,146.120500,112.015000,1.841415,2.126198,4.410367,0.520994,0.510471,0.546066,15.613290,6.917998,7.392208,0.639732,2.182564,3.680606,8.000000,99.090000
15,A15,2017-06-13,1,603431.510000,6616077.230000,0.354000,0.030876,7.000000,2,0.149715,0.434051,0.149715,0.434051,129.262900,143.017000,141.709700,112.740000,5.092011,3.494456,3.213783,0.486030,0.513970,0.538800,12.075240,7.223723,6.901312,1.876187,2.493866,3.471966,8.000000,99.090000
16,A16,2017-06-13,1,603442.940000,6616078.280000,0.327000,0.021088,8.000000,2,0.136399,0.477235,0.136399,0.477235,127.153700,136.591500,134.087200,113.580000,20.365319,14.108557,8.625396,0.503488,0.513970,0.524523,10.572980,7.256342,6.855395,4.605754,3.853378,4.232646,6.000000,104.930000
17,A17,2017-06-13,1,603451.100000,6616078.700000,0.328000,0.017712,7.000000,2,0.204881,0.463364,0.204881,0.463364,116.783700,123.268100,126.150700,114.070000,12.174862,10.578337,3.746931,0.489529,0.510471,0.510471,12.206240,6.693430,6.176309,4.237694,3.937594,3.652383,6.000000,104.930000
18,A18,2017-06-13,1,603459.780000,6616077.460000,0.301000,0.032283,10.000000,2,0.371703,0.494575,0.371703,0.494575,135.553700,111.894600,116.544700,114.670000,14.672226,7.569332,11.482708,0.500000,0.513970,0.513970,5.303602,4.122411,4.059610,4.111415,3.961933,5.255419,6.000000,104.930000
19,A19,2017-06-13,1,603468.210000,6616078.420000,0.343000,0.024729,8.000000,2,0.245785,0.475000,0.245785,0.475000,91.272340,106.481500,97.993670,114.830000,8.811926,9.482751,8.707579,0.513970,0.506977,0.517478,11.252700,5.358603,5.300504,2.714840,4.022579,4.830405,6.000000,104.930000
20,A20,2017-06-13,1,603486.270000,6616077.440000,0.369000,0.025821,9.000000,2,0.196499,0.477946,0.196499,0.477946,94.098400,84.716420,74.553810,114.827100,49.850490,17.181520,5.878343,0.506977,0.506977,0.506977,12.246930,6.966161,7.023418,5.110978,4.968457,4.029093,8.000000,99.090000
21,A21,2017-06-13,1,603500.840000,6616077.100000,0.373000,0.025173,11.000000,2,0.218916,0.505540,0.218916,0.505540,53.808150,65.307200,68.166820,114.290000,53.683849,10.717804,8.953161,0.517478,0.503488,0.513970,12.700780,7.746865,7.972138,4.813669,3.899491,4.556284,8.000000,99.090000
22,A22,2017-06-13,1,603508.970000,6616078.820000,0.266000,0.012178,18.000000,2,0.809134,0.511628,0.809134,0.511628,70.863310,73.216610,69.048390,113.628000,162.498180,55.401655,22.636435,0.496512,0.446557,0.380358,5.673355,4.948185,5.143535,6.837625,6.313401,6.083955,8.000000,99.090000
23,A23,2017-06-13,1,603519.160000,6616077.050000,0.286000,0.036588,22.000000,2,0.675270,0.523670,0.675270,0.523670,105.950300,111.644300,104.388700,113.680000,1.000001,32.216820,97.854097,0.423533,0.398580,0.370608,1.213244,2.425725,2.616693,1.488450,6.020752,9.422002,8.000000,99.090000
26,A26,2017-06-13,1,603538.550000,6616079.080000,0.260000,0.033184,21.000000,2,0.557527,0.514085,0.557527,0.514085,219.528600,212.072700,221.988100,114.215000,12.611458,164.037838,44.957219,0.506977,0.464798,0.446557,2.854445,3.166319,2.888220,3.776241,7.026990,7.051421,6.000000,104.930000
27,A27,2017-06-13,1,603546.290000,6616081.140000,0.244000,0.009889,23.000000,2,0.892791,0.529310,0.892791,0.529310,219.340500,222.551800,217.995000,114.835000,191.449833,62.411081,61.470349,0.513970,0.489529,0.468375,13.145650,7.240796,6.477744,5.804681,5.735134,6.608653,6.000000,104.930000
28,A28,2017-06-13,1,603555.670000,6616081.590000,0.268000,0.022154,20.000000,2,0.878872,0.506809,0.878872,0.506809,200.806600,203.056400,196.507200,115.850000,468.078131,385.342996,232.220643,0.493023,0.489529,0.486030,16.187630,8.740064,8.136773,7.009804,7.463460,7.578022,6.000000,104.930000
29,A29,2017-06-13,1,603567.130000,6616081.540000,0.300000,0.037152,18.000000,2,0.529268,0.485679,0.529268,0.485679,180.133200,185.398800,185.422500,117.430000,53.577510,268.913947,179.317722,0.496512,0.503488,0.500000,12.304340,6.443419,6.477024,4.579451,7.152759,7.523687,6.000000,104.930000
30,A30,2017-06-13,1,603580.640000,6616082.280000,0.295000,0.050797,18.000000,2,0.829515,0.562130,0.829515,0.562130,213.953700,193.756300,184.950700,118.860000,18.831845,621.753136,121.710300,0.489529,0.506977,0.489529,11.071050,5.902472,6.336086,4.090748,8.290559,6.900484,6.000000,104.930000
31,A31,2017-06-13,1,603588.760000,6616080.650000,0.321000,0.043391,18.000000,2,0.399958,0.562130,0.399958,0.562130,205.865400,195.780800,202.110500,119.605000,19.232505,45.119283,162.346702,0.510471,0.506977,0.489529,10.974310,6.814810,6.160436,3.938855,5.521347,7.645796,6.000000,104.930000
32,A32,2017-06-13,1,603596.470000,6616083.650000,0.354000,0.035515,8.000000,2,0.133135,0.576638,0.133135,0.576638,198.437100,201.400200,199.772800,120.610000,1.601503,5.660761,16.423029,0.503488,0.493023,0.496512,9.750751,6.320728,5.802227,0.659731,3.144091,5.332074,6.000000,104.930000
33,A33,2017-06-13,1,603608.250000,6616082.490000,0.332000,0.032462,14.000000,2,0.346840,0.549539,0.346840,0.549539,239.782600,233.102600,223.418800,121.540000,43.231250,63.846697,20.054576,0.517478,0.528066,0.513970,13.163930,5.027703,5.594247,5.427835,6.415921,5.270053,6.000000,104.930000
34,A34,2017-06-13,1,603618.090000,6616083.130000,0.380000,0.012911,9.000000,2,0.207593,0.497200,0.207593,0.497200,228.234100,231.756700,224.558200,122.335000,1.482347,5.790585,30.323489,0.520994,0.528066,0.520994,10.054920,4.731971,5.141731,0.506058,3.408142,6.400033,6.000000,104.930000
35,A35,2017-06-13,1,603626.990000,6616080.590000,0.362000,0.021249,13.000000,2,0.312322,0.462025,0.312322,0.462025,234.222600,239.755500,237.833400,122.660000,18.326507,10.890896,7.510395,0.503488,0.524523,0.513970,6.984569,5.550307,5.126015,4.509396,4.206149,4.606287,6.000000,104.930000
36,A36,2017-06-13,1,603639.880000,6616079.840000,0.227000,0.030850,17.000000,2,0.446641,0.458507,0.446641,0.458507,249.661300,250.437700,250.519000,123.020000,235.573142,98.094576,7.406690,0.482523,0.496512,0.506977,10.265240,4.331953,5.227283,12.904577,9.725902,4.720182,6.000000,104.930000
37,A37,2017-06-13,1,603647.900000,6616078.770000,0.270000,0.017234,10.000000,2,0.279232,0.455729,0.279232,0.455729,248.702400,248.061000,254.463200,123.270000,16.347840,13.757148,18.533619,0.510471,0.493023,0.503488,7.915330,5.541869,5.950179,4.184430,4.230631,5.351802,6.000000,104.930000
38,A38,2017-06-13,1,603660.680000,6616081.720000,0.226000,0.031040,15.000000,2,0.466103,0.461344,0.466103,0.461344,257.117700,251.932200,254.561700,123.875000,276.786627,1634.164295,1379.060278,0.510471,0.457580,0.446557,11.827430,5.867947,6.186127,6.391649,9.070333,9.591407,7.000000,100.670000
39,A39,2017-06-13,1,603665.260000,6616079.430000,0.239000,0.016876,18.000000,2,0.707225,0.473554,0.707225,0.473554,204.370100,225.506300,203.822600,123.910000,54.557507,42.760434,37.869840,0.457580,0.471934,0.450260,10.703690,5.717585,6.167554,4.835712,5.598303,6.134529,7.000000,100.670000
40,A40,2017-06-13,1,603672.890000,6616081.870000,0.237000,0.020657,16.000000,2,0.376657,0.472000,0.376657,0.472000,169.471200,183.912500,193.934100,124.810000,59.707277,25.883086,21.122470,0.506977,0.500000,0.500000,14.366960,8.339563,8.075442,4.902562,4.992422,5.269476,7.000000,100.670000
